"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2009","13.8388","14.1565","14.2045","12.9435","","-2.47%"
"03/01/2009","14.1900","15.1950","15.5990","13.6840","","-6.94%"
"02/01/2009","15.2475","14.2810","15.2775","14.0415","","6.31%"
"01/01/2009","14.3420","13.6150","14.4625","13.2325","","4.95%"
"12/01/2008","13.6662","13.4388","13.9477","12.9637","","1.64%"
"11/01/2008","13.4454","12.8400","14.1885","12.3500","","4.82%"
"10/01/2008","12.8270","10.9370","14.3360","10.9070","","17.46%"
"09/01/2008","10.9200","10.2755","11.0575","10.2740","","6.17%"
"08/01/2008","10.2850","10.0375","10.3063","9.8548","","2.49%"
"07/01/2008","10.0350","10.3102","10.4275","9.9993","","-2.67%"
"06/01/2008","10.3100","10.3255","10.4529","10.2585","","-0.12%"
"05/01/2008","10.3220","10.4880","10.5910","10.2935","","-1.56%"
"04/01/2008","10.4860","10.6330","10.6465","10.4300","","-1.41%"
"03/01/2008","10.6360","10.7140","10.9042","10.6280","","-0.70%"
"02/01/2008","10.7115","10.8230","10.8505","10.6515","","-1.06%"
"01/01/2008","10.8262","10.8963","11.0203","10.8093","","-0.76%"
"12/01/2007","10.9088","10.9352","10.9677","10.8018","","0.02%"
"11/01/2007","10.9070","10.6500","11.0295","10.6325","","2.38%"
"10/01/2007","10.6532","10.9192","10.9617","10.6447","","-2.46%"
"09/01/2007","10.9220","11.0305","11.1570","10.8855","","-1.00%"
"08/01/2007","11.0325","10.9870","11.3375","10.9170","","0.39%"
"07/01/2007","10.9900","10.8045","11.0308","10.6987","","1.69%"
"06/01/2007","10.8078","10.7428","11.0623","10.6913","","0.59%"
"05/01/2007","10.7445","10.9690","10.9770","10.7314","","-2.02%"
"04/01/2007","10.9657","11.0478","11.0528","10.9078","","-0.70%"
"03/01/2007","11.0430","11.1650","11.2590","10.9864","","-1.07%"
"02/01/2007","11.1622","10.9988","11.2119","10.8883","","1.45%"
"01/01/2007","11.0025","10.7972","11.1132","10.7527","","1.85%"
"12/01/2006","10.8027","10.9797","11.0457","10.7466","","-1.64%"
"11/01/2006","10.9827","10.7482","11.1193","10.7212","","2.06%"
"10/01/2006","10.7605","10.9770","11.0990","10.6820","","-1.96%"
"09/01/2006","10.9755","10.9070","11.1243","10.8250","","0.58%"
"08/01/2006","10.9125","10.9640","11.0470","10.7360","","-0.48%"
"07/01/2006","10.9650","11.3485","11.3635","10.8405","","-3.26%"
"06/01/2006","11.3350","11.3270","11.5210","11.1865","","0.04%"
"05/01/2006","11.3310","11.0645","11.3740","10.8050","","2.48%"
"04/01/2006","11.0570","10.8855","11.2012","10.8250","","1.62%"
"03/01/2006","10.8807","10.4855","11.0682","10.4483","","3.83%"
"02/01/2006","10.4790","10.4483","10.5765","10.4217","","0.33%"
"01/01/2006","10.4447","10.6307","10.6677","10.4247","","-1.73%"
"12/01/2005","10.6285","10.5595","10.7955","10.3960","","0.68%"
"11/01/2005","10.5572","10.7862","10.7917","10.5488","","-2.12%"
"10/01/2005","10.7860","10.7700","10.9780","10.6580","","0.25%"
"09/01/2005","10.7590","10.7572","10.9205","10.6350","","0.02%"
"08/01/2005","10.7570","10.5930","10.9165","10.5605","","1.44%"
"07/01/2005","10.6038","10.7415","10.8040","10.5650","","-1.29%"
"06/01/2005","10.7428","10.8742","10.9237","10.7308","","-1.28%"
"05/01/2005","10.8820","11.0325","11.0725","10.8575","","-1.52%"
"04/01/2005","11.0500","11.1750","11.2815","10.9940","","-1.08%"
"03/01/2005","11.1702","11.0957","11.3377","10.9578","","0.65%"
"02/01/2005","11.0980","11.1800","11.2330","11.0090","","-0.87%"
"01/01/2005","11.1950","11.1345","11.4385","11.1195","","0.54%"
"12/01/2004","11.1350","11.2225","11.3680","11.0725","","-0.76%"
"11/01/2004","11.2200","11.5120","11.5550","11.2115","","-2.74%"
"10/01/2004","11.5362","11.3807","11.5813","11.1983","","1.37%"
"09/01/2004","11.3800","11.3880","11.6350","11.3730","","-0.11%"
"08/01/2004","11.3920","11.4050","11.4750","11.3020","","-0.03%"
"07/01/2004","11.3950","11.4790","11.5690","11.3610","","-0.87%"
"06/01/2004","11.4950","11.4470","11.6000","11.2850","","0.35%"
"05/01/2004","11.4550","11.4300","11.7070","11.3660","","0.34%"
"04/01/2004","11.4165","11.1295","11.4745","11.1295","","2.62%"
"03/01/2004","11.1250","11.0580","11.2560","10.8850","","0.59%"
"02/01/2004","11.0600","11.0100","11.3000","10.8750","","-0.04%"
"01/01/2004","11.0645","11.2265","11.2395","10.7765","","-1.47%"
"12/01/2003","11.2300","11.4112","11.4320","11.1245","","-1.30%"
"11/01/2003","11.3782","11.0162","11.4522","10.9313","","3.32%"
"10/01/2003","11.0130","10.9860","11.3580","10.9410","","0.25%"
"09/01/2003","10.9860","11.0590","11.0920","10.7370","","-0.55%"
"08/01/2003","11.0471","10.6160","11.1050","10.5700","","4.15%"
"07/01/2003","10.6070","10.4350","10.6250","10.3290","","1.44%"
"06/01/2003","10.4563","10.3152","10.8307","10.2183","","1.37%"
"05/01/2003","10.3150","10.2550","10.4570","10.0840","","0.44%"
"04/01/2003","10.2700","10.7850","10.8255","10.2550","","-4.69%"
"03/01/2003","10.7753","11.0144","11.2668","10.6469","","-2.21%"
"02/01/2003","11.0185","10.9515","11.0865","10.7440","","1.00%"
"01/01/2003","10.9090","10.3900","11.0180","10.3050","","5.20%"
"12/01/2002","10.3700","10.1400","10.5050","10.0800","","2.20%"
"11/01/2002","10.1470","10.1970","10.3720","10.0620","","-0.53%"
"10/01/2002","10.2010","10.1975","10.2620","9.9210","","0.08%"
"09/01/2002","10.1925","9.9375","10.3825","9.9025","","2.54%"
"08/01/2002","9.9400","9.8765","10.0140","9.6640","","0.66%"
"07/01/2002","9.8750","9.8975","9.9910","9.5975","","-0.65%"
"06/01/2002","9.9400","9.6300","10.0850","9.5750","","3.05%"
"05/01/2002","9.6455","9.4135","9.7875","9.3735","","2.48%"
"04/01/2002","9.4120","9.0050","9.4140","8.9620","","4.46%"
"03/01/2002","9.0100","9.1265","9.1425","8.9880","","-1.27%"
"02/01/2002","9.1260","9.1476","9.1890","9.0050","","-0.27%"
"01/01/2002","9.1505","9.1605","9.3055","9.0665","","-0.03%"
"12/01/2001","9.1530","9.2490","9.2800","9.0500","","-0.73%"
"11/01/2001","9.2200","9.2690","9.3100","9.0990","","-0.65%"
"10/01/2001","9.2800","9.4960","9.6200","9.1650","","-2.32%"
"09/01/2001","9.5000","9.2040","9.6110","9.1720","","3.21%"
"08/01/2001","9.2045","9.1725","9.2425","9.0005","","0.38%"
"07/01/2001","9.1700","9.0280","9.4150","8.9800","","1.57%"
"06/01/2001","9.0280","9.1845","9.2050","9.0100","","-1.60%"
"05/01/2001","9.1750","9.2420","9.3150","8.9200","","-0.78%"
"04/01/2001","9.2470","9.4600","9.4740","9.1440","","-2.22%"
"03/01/2001","9.4570","9.6790","9.7230","9.4500","","-2.31%"
"02/01/2001","9.6810","9.6620","9.8000","9.6230","","0.22%"
"01/01/2001","9.6595","9.6405","10.0035","9.5755","","0.19%"
"12/01/2000","9.6410","9.4230","9.6620","9.3550","","2.34%"
"11/01/2000","9.4210","9.5710","9.7110","9.3370","","-1.53%"
"10/01/2000","9.5675","9.4255","9.7185","9.3835","","1.31%"
"09/01/2000","9.4435","9.1995","9.5205","9.1885","","2.61%"
"08/01/2000","9.2035","9.3225","9.4175","9.1485","","-1.46%"
"07/01/2000","9.3400","9.7550","9.7550","9.3070","","-4.77%"
"06/01/2000","9.8075","9.5205","10.1545","9.5005","","2.99%"
"05/01/2000","9.5225","9.4015","9.6685","9.3295","","1.39%"
"04/01/2000","9.3920","9.2590","9.5650","9.2530","","1.40%"
"03/01/2000","9.2620","9.3720","9.3850","9.1200","","-1.14%"
"02/01/2000","9.3690","9.5920","9.6180","9.3159","","-2.27%"
"01/01/2000","9.5870","9.4300","9.6700","9.3650","","0.87%"
"12/01/1999","9.5045","9.4875","9.6145","9.3345","","0.63%"
"11/01/1999","9.4450","9.6100","9.6400","9.2383","","-1.59%"
"10/01/1999","9.5975","9.3675","9.8225","9.3375","","2.37%"
"09/01/1999","9.3750","9.3580","9.4450","9.2700","","0.27%"
"08/01/1999","9.3500","9.4000","9.5550","9.2820","","-0.64%"
"07/01/1999","9.4100","9.3750","9.5850","9.2470","","0.38%"
"06/01/1999","9.3740","9.7150","9.8400","9.3150","","-3.50%"
"05/01/1999","9.7140","9.2900","9.8550","9.2300","","4.45%"
"04/01/1999","9.3000","9.5200","9.6100","9.2370","","-2.31%"
"03/01/1999","9.5200","9.8850","9.9950","9.5000","","-3.81%"
"02/01/1999","9.8975","10.1675","10.2175","9.8825","","-2.68%"
